participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008105934577451_848772,nonwords,1,1,greir,0,0,1,0,19.954
20241008105934577451_848772,nonwords,1,2,vowsc,0,0,0,1,1.321
20241008105934577451_848772,nonwords,1,3,choamp,0,0,0,1,1.006
20241008105934577451_848772,nonwords,1,4,gruisch,0,0,0,1,2.016
20241008105934577451_848772,words,2,1,balloon,0,0,1,0,18.188
20241008105934577451_848772,words,2,2,helicopter,0,0,1,0,0.775
20241008105934577451_848772,words,2,3,grapefruit,0,0,0,1,0.887
20241008105934577451_848772,words,2,4,snake,0,0,0,1,0.66
20241008105934577451_848772,images,3,1,turtle,0,0,1,0,104.442
20241008105934577451_848772,images,3,2,cranberry,0,0,0,1,0.801
20241008105934577451_848772,images,3,3,parakeet,0,0,1,0,0.869
20241008105934577451_848772,images,3,4,eagle,0,0,0,1,0.815
